Шал,Тагт,Ашиглалтанд орсон он,Гараж,Цонх,Барилгын давхар,Хаалга,Талбай,Хэдэн давхарт,Лизинг,Дүүрэг,Цонхны тоо,Байршил,Зарын дугаар: ,Огноо,Зарын гарчиг,Үнэ,Байрлал,Хэрэглэгчийн нэр,Хэрэглэгчийн дугаар,Үзсэн,Зарын тайлбар
Паркет,Тагтгүй,2020,Байхгүй,Вакум,16,Бүргэд,24.04 м²,4,Лизинггүй,Баянзүрх,1,16-р хороолол,4580385,Нийтэлсэн: 2020-12-15 09:55,Бзд цайз захын баруун талд шинэ 1 өрөө байр,43000000.0,Улаанбаатар,,,639,1
Паркет,1 тагттай,2009,Байхгүй,Вакум,17,Бүргэд,54.0 м²,8,Банкны лизингтэй,Баянзүрх,1,13-р хороолол,4580104,Нийтэлсэн: 2020-12-15 08:08,Наран туул захын хажууд 1 өрөө,76000000.0,Улаанбаатар,,,202,8
Паркет,Тагтгүй,2009,Байхгүй,Вакум,5,Бүргэд,38.6 м²,5,Лизинггүй,Хан-Уул,1,Viva city,4608457,Нийтэлсэн: 2021-01-02 10:40,Vivad mansarttai 1 uruu 38.6m2,66000000.0,Улаанбаатар,,,397,1
Паркет,1 тагттай,2018,Байхгүй,Вакум,6,Бүргэд,31.0 м²,1,Лизинггүй,Сонгино Хайрхан,2,Найрамдал,4577481,Нийтэлсэн: 2021-01-02 13:01,Найрамдал зуслан дотор 1 өрөө байр,72000000.0,Улаанбаатар,,,165,1
Паркет,1 тагттай,2015,Байхгүй,Вакум,8,Бүргэд,38.0 м²,8,Лизинггүй,Баянзүрх,2,16-р хороолол,4586874,Нийтэлсэн: 2020-12-18 10:31,1 өрөө байр,58000000.0,Улаанбаатар,,,278,1
Паркет,1 тагттай,2013,Байхгүй,Вакум,16,Бүргэд,27.0 м²,3,Банкны лизингтэй,Сүхбаатар,1,Бусад,4587258,Нийтэлсэн: 2020-12-18 13:16,Үйлдвэрчин хотхонд 1 өрөө байр,57000000.0,Улаанбаатар,,,323,1
Ламинат,1 тагттай,2010,Байхгүй,Вакум,12,Бүргэд,39.0 м²,11,Лизинггүй,Баянзүрх,2,14-р хороолол,4585537,Нийтэлсэн: 2020-12-17 15:15,Бзд 14 хороо аман хуурын баруун талд 1 өрөө байр,78000000.0,Улаанбаатар,,,140,10
Паркет,2 тагттай,2000,Байхгүй,Вакум,9,Төмөр,21.0 м²,1,Лизинггүй,Сонгино Хайрхан,2,1-р хороолол,4509753,Нийтэлсэн: 2020-12-18 13:53,1р хороолол хархорин захын хойно 1өрөө байр 21м2,60000000.0,Улаанбаатар,,,690,6
Паркет,1 тагттай,2018,Байгаа,Вакум,12,Бүргэд,41.33 м²,2,Лизинггүй,Баянзүрх,1,Офицер,4616758,Нийтэлсэн: 2021-01-07 13:13,Бзд 16хороонд 1өрөө байр,68000000.0,Улаанбаатар,,,333,11
Паркет,1 тагттай,2002,Байхгүй,Вакум,6,Бүргэд,50.68 м²,6,Лизинггүй,Баянгол,5,Бусад,4342096,Нийтэлсэн: 2021-01-07 15:22,Хермесийн зүүн хойно 3 өрөө,100000000.0,Улаанбаатар,,,100,1
